序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
208,臺北市,2014/06/01,士林,3.6,0.44,-,27.8,45,22,19.64,3.43,16.21,1.73,28.74,75.45
209,新北市,2014/06/30,板橋,3.5,0.67,-,17.2,29,12,34.77,9.7,25.07,1.4,27.72,84.02
210,新北市,2014/06/30,三重,3.4,1.62,-,-,46,17,99.17,60.48,38.69,-,28.78,79.51
211,新北市,2014/06/30,菜寮,2.5,0.61,-,22.4,24,16,26.03,4.26,21.77,1.61,28.6,78.62
212,新北市,2014/06/30,永和,2.8,1.15,-,19.7,23,13,40.57,14.74,25.83,1.17,28.44,86.38
213,新北市,2014/06/30,新莊,5.3,0.58,-,16.5,22,13,29.42,6.02,23.4,1.78,28.51,84.67
214,新北市,2014/06/30,新店,2.9,0.39,-,31.3,22,8,16.98,2.83,14.15,1.52,28.23,81.69
215,新北市,2014/06/30,淡水,1.9,0.37,-,20.2,29,14,16.05,2.73,13.31,-,-,-
216,新北市,2014/06/30,汐止,5.7,0.49,-,22.1,29,12,30.76,8.9,21.85,1.17,28.85,85.39
217,新北市,2014/06/30,土城,3.3,0.51,-,23.2,28,13,28.58,6.44,22.15,1.25,27.23,83.56
218,新北市,2014/06/30,林口,3.7,0.42,-,18.0,36,21,32.82,10.14,22.68,1.43,26.92,87.98
219,新北市,2014/06/30,萬里,3.6,0.17,-,29.1,26,12,6.59,1.12,5.46,2.86,27.7,81.54
220,新北市,2014/06/29,板橋,4.3,0.47,-,22.4,41,19,21.21,3.83,17.37,1.88,30.04,81.29
221,新北市,2014/06/29,三重,3.4,1.27,-,-,55,25,74.5,45.06,29.45,-,30.04,75.09
