序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1761,彰化縣,2015/01/13,線西,3.3,0.42,27.3,64.0,27,20,3.92,16.1,2.93,17.77,80.48
1762,彰化縣,2015/01/13,二林,1.2,0.33,25.9,64.0,28,13,2.05,11.08,2.31,17.74,84.51
1763,彰化縣,2015/01/12,彰化,5.3,0.72,23.7,66.0,36,32,5.09,26.43,1.26,18.55,64.37
1764,彰化縣,2015/01/12,線西,6.3,0.6,30.6,68.0,33,26,4.18,22.02,2.71,18.48,66.51
1765,彰化縣,2015/01/12,二林,7.1,0.52,31.4,76.0,46,20,2.24,17.66,2.1,18.33,70.99
1766,彰化縣,2015/01/11,彰化,4.2,0.64,21.3,61.0,35,27,4.52,22.88,1.22,17.53,63.12
1767,彰化縣,2015/01/11,線西,6.3,0.52,27.9,63.0,35,24,4.55,19.1,2.92,17.42,66.79
1768,彰化縣,2015/01/11,二林,6.7,0.49,28.3,65.0,43,22,4.57,17.02,2.17,17.23,69.87
1769,彰化縣,2015/01/10,彰化,3.0,0.5,25.0,57.0,31,23,3.33,19.69,1.32,16.34,62.03
1770,彰化縣,2015/01/10,線西,6.2,0.38,28.0,55.0,24,21,2.99,18.17,4.11,16.88,64.89
1771,彰化縣,2015/01/10,二林,4.4,0.34,30.7,65.0,36,18,1.67,16.25,2.83,16.97,67.18
1772,彰化縣,2015/01/09,彰化,2.9,0.46,27.5,56.0,29,21,2.93,17.58,2.0,15.58,59.55
1773,彰化縣,2015/01/09,線西,4.7,0.36,32.6,58.0,26,18,2.35,15.17,5.29,15.98,63.3
1774,彰化縣,2015/01/09,二林,3.8,0.36,32.9,64.0,36,15,1.15,13.92,3.84,16.16,64.93
1775,彰化縣,2015/01/08,彰化,3.1,0.5,30.2,69.0,37,15,1.72,13.49,3.28,14.33,56.66
1776,彰化縣,2015/01/08,線西,5.3,0.45,33.6,81.0,41,16,2.09,13.46,7.5,14.49,59.97
1777,彰化縣,2015/01/08,二林,4.8,0.42,32.6,87.0,48,15,1.58,13.1,5.79,14.99,62.03
1778,彰化縣,2015/01/07,彰化,2.4,0.55,24.5,54.0,26,18,2.47,15.39,3.1,16.81,72.6
1779,彰化縣,2015/01/07,線西,3.5,0.58,33.0,53.0,22,14,2.26,12.07,7.57,16.81,76.1
1780,彰化縣,2015/01/07,二林,3.3,0.49,29.7,63.0,27,13,1.6,11.78,5.53,17.27,77.52
1781,彰化縣,2015/01/06,彰化,4.7,0.71,20.1,78.0,47,32,5.84,25.94,1.71,20.72,70.1
1782,彰化縣,2015/01/06,線西,5.7,0.61,26.5,79.0,49,29,8.4,20.62,3.18,19.99,77.59
1783,彰化縣,2015/01/06,二林,5.0,0.53,24.5,85.0,60,22,4.62,17.16,2.79,20.34,78.01
1784,彰化縣,2015/01/05,彰化,4.5,0.67,22.5,72.0,50,30,4.66,25.7,1.17,19.46,67.05
1785,彰化縣,2015/01/05,線西,6.0,0.63,27.0,83.0,55,31,8.09,23.01,2.35,18.6,76.41
1786,彰化縣,2015/01/05,二林,3.6,0.61,26.9,98.0,76,26,7.64,18.49,1.58,18.52,77.16
1787,彰化縣,2015/01/04,彰化,4.9,0.89,19.1,78.0,57,32,6.42,25.87,1.05,17.16,66.91
1788,彰化縣,2015/01/04,線西,4.4,0.64,23.9,89.0,59,32,9.0,23.25,2.01,16.6,78.12
1789,彰化縣,2015/01/04,二林,4.3,0.63,25.6,96.0,73,26,8.92,17.47,1.42,16.54,79.41
1790,彰化縣,2015/01/03,彰化,4.9,0.72,18.4,62.0,38,33,7.43,25.68,1.0,15.62,64.6
1791,彰化縣,2015/01/03,線西,4.5,0.38,26.9,52.0,27,23,3.52,19.4,2.23,15.75,68.72
1792,彰化縣,2015/01/03,二林,3.5,0.34,29.8,62.0,37,19,2.94,15.6,1.69,16.09,70.66
1793,彰化縣,2015/01/02,彰化,3.0,0.45,25.0,51.0,25,21,3.71,17.76,1.54,13.95,57.1
1794,彰化縣,2015/01/02,線西,5.7,0.38,29.3,53.0,24,18,2.58,15.64,4.52,14.56,60.41
1795,彰化縣,2015/01/02,二林,3.4,0.35,30.7,60.0,32,16,1.59,14.17,3.4,14.99,63.11
1796,彰化縣,2015/01/01,彰化,3.7,0.54,32.4,72.0,39,18,2.13,15.92,2.36,14.47,55.14
1797,彰化縣,2015/01/01,線西,6.1,0.52,39.5,97.0,43,13,1.67,11.71,7.11,14.79,57.86
1798,彰化縣,2015/01/01,二林,4.1,0.44,38.2,90.0,50,12,1.27,11.08,5.0,15.04,61.8
1799,南投縣,2015/01/31,南投,2.0,0.54,22.8,47.0,19,21,3.67,17.28,1.82,16.89,72.29
1800,南投縣,2015/01/31,埔里,1.7,0.55,28.0,46.0,30,20,3.49,16.54,1.61,17.49,68.54
1801,南投縣,2015/01/31,竹山,-,0.48,24.7,64.0,34,20,2.5,17.08,1.59,15.99,72.11
1802,南投縣,2015/01/30,南投,1.6,0.42,18.6,57.0,22,23,2.79,19.88,1.68,18.24,78.31
1803,南投縣,2015/01/30,埔里,1.9,0.47,25.5,47.0,29,20,2.58,16.92,1.35,18.34,70.32
1804,南投縣,2015/01/30,竹山,-,0.37,15.8,69.0,34,20,2.48,17.61,1.51,16.83,80.15
1805,南投縣,2015/01/29,南投,2.9,0.46,21.8,58.0,22,27,4.38,22.41,1.34,19.37,74.63
1806,南投縣,2015/01/29,埔里,1.6,0.43,30.8,44.0,26,17,2.78,14.36,1.58,19.17,69.18
1807,南投縣,2015/01/29,竹山,3.1,0.41,21.8,70.0,33,23,3.37,20.09,1.46,17.91,76.17
1808,南投縣,2015/01/28,南投,2.4,0.59,23.1,43.0,17,24,3.7,20.05,1.47,18.74,73.29
1809,南投縣,2015/01/28,埔里,1.3,0.52,22.8,50.0,39,18,2.56,15.3,1.28,18.54,75.81
1810,南投縣,2015/01/28,竹山,2.5,0.54,20.1,-,38,21,3.06,17.61,1.17,17.28,78.48
1811,南投縣,2015/01/27,南投,2.4,0.81,10.6,87.0,51,36,9.09,27.22,1.25,19.07,84.97
1812,南投縣,2015/01/27,埔里,1.4,0.49,17.3,44.0,39,19,2.69,16.13,0.96,18.1,79.78
1813,南投縣,2015/01/27,竹山,2.1,0.58,12.8,-,64,31,5.35,25.41,1.13,17.98,85.38
1814,南投縣,2015/01/26,南投,2.5,0.55,14.6,83.0,49,29,4.96,23.96,1.2,18.88,84.22
1815,南投縣,2015/01/26,埔里,2.2,0.49,17.7,39.0,28,20,2.84,17.29,1.0,17.62,75.53
1816,南投縣,2015/01/26,竹山,2.5,0.48,16.9,76.0,58,25,2.76,22.31,1.52,18.16,81.55
1817,南投縣,2015/01/25,南投,3.0,0.75,32.6,115.0,69,25,1.53,23.8,1.26,19.44,64.6
1818,南投縣,2015/01/25,埔里,2.2,0.58,34.6,64.0,49,19,1.98,16.7,1.05,17.52,58.08
1819,南投縣,2015/01/25,竹山,3.2,0.65,43.5,124.0,85,20,0.87,19.3,1.16,18.17,63.61
1820,南投縣,2015/01/24,南投,3.2,0.69,32.4,104.0,61,25,2.56,22.78,1.57,16.57,64.87
1821,南投縣,2015/01/24,埔里,2.4,0.61,39.2,75.0,55,20,3.12,16.49,1.41,14.35,60.33
1822,南投縣,2015/01/24,竹山,3.8,0.65,41.1,110.0,74,22,1.81,20.4,1.41,15.4,64.67
1823,南投縣,2015/01/23,南投,3.5,0.68,28.6,97.0,52,25,3.27,22.16,1.53,15.44,63.08
1824,南投縣,2015/01/23,埔里,2.9,0.61,26.4,60.0,36,-,-,-,1.42,13.29,56.09
1825,南投縣,2015/01/23,竹山,3.5,0.52,38.1,81.0,48,20,2.0,17.8,1.29,14.23,55.3
1826,南投縣,2015/01/22,南投,3.6,0.7,27.5,102.0,52,27,5.28,21.44,1.57,16.32,66.9
1827,南投縣,2015/01/22,埔里,2.1,0.48,32.4,54.0,36,16,1.57,14.75,1.56,15.76,62.24
1828,南投縣,2015/01/22,竹山,3.7,0.51,33.0,87.0,48,19,2.81,15.85,1.31,14.97,62.91
1829,南投縣,2015/01/21,南投,2.6,0.63,24.4,99.0,44,25,2.53,22.23,1.56,18.99,78.79
1830,南投縣,2015/01/21,埔里,2.0,0.43,28.2,48.0,34,15,1.56,13.34,1.7,17.63,72.45
1831,南投縣,2015/01/21,竹山,2.3,0.48,27.6,97.0,53,20,2.06,17.89,1.37,17.05,79.43
1832,南投縣,2015/01/20,南投,4.6,0.77,32.2,120.0,62,29,4.85,23.92,1.29,18.55,71.88
1833,南投縣,2015/01/20,埔里,3.0,0.66,38.2,90.0,70,19,2.42,16.7,1.41,16.91,70.23
1834,南投縣,2015/01/20,竹山,3.2,0.55,40.9,123.0,78,19,2.44,16.75,1.36,17.21,70.72
1835,南投縣,2015/01/19,南投,2.6,0.64,20.8,78.0,36,29,8.72,20.24,1.27,16.67,70.6
1836,南投縣,2015/01/19,埔里,2.4,0.6,31.9,69.0,49,18,2.77,15.53,1.32,15.75,69.09
1837,南投縣,2015/01/19,竹山,2.2,0.52,25.6,85.0,50,22,4.36,17.6,1.15,15.25,71.16
1838,南投縣,2015/01/18,南投,2.6,0.61,21.2,95.0,52,24,5.31,18.41,1.41,16.18,73.25
1839,南投縣,2015/01/18,埔里,2.1,0.59,32.2,73.0,57,16,1.59,14.84,1.31,15.2,69.15
1840,南投縣,2015/01/18,竹山,2.2,0.48,27.1,94.0,59,17,2.24,14.79,1.3,14.81,71.52
1841,南投縣,2015/01/17,南投,2.5,0.55,25.4,88.0,48,25,4.17,20.5,1.55,16.57,67.37
1842,南投縣,2015/01/17,埔里,2.7,0.5,34.1,57.0,39,17,1.92,14.98,1.45,16.03,65.82
1843,南投縣,2015/01/17,竹山,3.2,0.5,27.7,96.0,62,20,1.8,18.49,1.48,15.32,68.8
1844,南投縣,2015/01/16,南投,3.1,0.59,21.1,73.0,32,31,6.57,24.86,1.46,18.05,72.67
1845,南投縣,2015/01/16,埔里,1.8,0.42,35.3,48.0,28,16,2.04,13.7,1.56,18.1,64.64
1846,南投縣,2015/01/16,竹山,3.3,0.49,25.3,89.0,50,28,6.91,20.93,1.48,16.48,74.38
1847,南投縣,2015/01/15,南投,3.2,0.55,19.4,51.0,20,27,6.24,21.09,1.24,17.17,71.54
1848,南投縣,2015/01/15,埔里,1.9,0.42,28.5,32.0,20,15,2.76,12.32,1.57,17.53,68.53
1849,南投縣,2015/01/15,竹山,2.4,0.41,21.0,61.0,32,21,3.29,18.2,1.44,15.67,72.89
1850,南投縣,2015/01/14,南投,2.0,0.48,19.6,32.0,10,21,3.01,17.83,1.95,17.5,81.36
1851,南投縣,2015/01/14,埔里,1.4,0.32,29.2,15.0,8,11,1.36,9.85,1.69,17.26,76.72
1852,南投縣,2015/01/14,竹山,1.9,0.36,23.7,28.0,13,17,1.46,15.76,1.76,15.82,81.58
1853,南投縣,2015/01/13,南投,3.7,0.55,25.2,97.0,46,24,3.39,20.42,1.59,19.7,74.13
1854,南投縣,2015/01/13,埔里,2.4,0.49,40.0,69.0,42,17,1.53,15.85,2.21,18.29,67.25
1855,南投縣,2015/01/13,竹山,4.0,0.42,33.3,92.0,51,17,1.34,16.08,1.58,17.67,74.65
1856,南投縣,2015/01/12,南投,3.9,0.66,24.6,-,44,30,3.69,26.37,1.48,20.44,63.14
1857,南投縣,2015/01/12,埔里,2.9,0.54,36.6,49.0,34,20,2.18,17.86,1.34,18.05,60.96
1858,南投縣,2015/01/12,竹山,3.7,0.53,36.6,97.0,58,22,3.16,18.97,1.45,18.61,61.93
1859,南投縣,2015/01/11,南投,2.0,0.6,23.8,-,41,26,4.75,21.09,1.32,18.66,64.63
1860,南投縣,2015/01/11,埔里,2.1,0.51,29.7,52.0,37,18,2.4,15.98,1.4,16.71,58.55
1861,南投縣,2015/01/11,竹山,2.7,0.47,31.6,68.0,44,18,1.93,16.17,1.12,17.01,59.91
1862,南投縣,2015/01/10,南投,3.3,0.64,24.4,85.0,45,34,8.06,25.74,1.1,17.5,66.83
1863,南投縣,2015/01/10,埔里,2.6,0.54,35.0,68.0,47,18,1.33,16.59,1.25,16.62,65.3
1864,南投縣,2015/01/10,竹山,3.3,0.55,29.6,98.0,62,25,3.3,21.61,1.13,15.91,68.33
1865,南投縣,2015/01/09,南投,3.4,0.51,22.2,76.0,37,31,6.84,24.44,1.34,17.1,61.88
1866,南投縣,2015/01/09,埔里,1.4,0.52,32.8,64.0,42,17,1.14,15.63,1.51,16.17,63.29
1867,南投縣,2015/01/09,竹山,2.7,0.51,27.8,92.0,55,22,2.01,19.77,1.34,15.63,63.2
1868,南投縣,2015/01/08,南投,3.2,0.64,21.0,77.0,36,23,3.73,19.01,1.88,15.7,62.86
1869,南投縣,2015/01/08,埔里,1.7,0.57,20.5,63.0,42,17,1.83,15.3,1.22,15.94,73.28
1870,南投縣,2015/01/08,竹山,4.6,0.51,20.9,85.0,50,19,1.5,17.83,1.53,13.98,66.0
1871,南投縣,2015/01/07,南投,2.0,0.78,17.7,84.0,43,27,3.95,23.47,1.95,18.74,75.12
1872,南投縣,2015/01/07,埔里,2.9,0.58,23.0,63.0,46,23,3.18,19.61,1.3,19.16,73.53
1873,南投縣,2015/01/07,竹山,3.4,0.59,16.8,97.0,62,23,1.26,21.87,1.57,17.03,77.7
1874,南投縣,2015/01/06,南投,2.4,0.69,20.7,78.0,38,30,6.44,23.82,1.45,21.76,67.74
1875,南投縣,2015/01/06,埔里,2.6,0.47,24.8,40.0,23,22,3.85,18.17,1.34,19.84,65.71
1876,南投縣,2015/01/06,竹山,3.9,0.48,25.6,77.0,44,21,2.8,18.27,1.43,19.77,68.17
1877,南投縣,2015/01/05,南投,2.6,0.75,24.1,70.0,36,31,9.26,21.99,1.3,20.26,64.27
1878,南投縣,2015/01/05,埔里,1.9,0.54,24.4,43.0,30,19,3.57,15.85,1.09,17.52,64.86
1879,南投縣,2015/01/05,竹山,2.8,0.49,29.6,63.0,42,19,2.9,15.92,1.12,18.62,63.1
1880,南投縣,2015/01/04,南投,2.8,0.68,23.4,89.0,52,25,5.41,19.54,1.21,17.97,68.28
1881,南投縣,2015/01/04,埔里,1.8,0.61,29.1,71.0,56,19,2.76,16.52,1.2,16.54,66.12
1882,南投縣,2015/01/04,竹山,2.3,0.49,33.9,88.0,64,16,2.2,14.28,1.11,16.43,66.6
1883,南投縣,2015/01/03,南投,2.9,0.68,22.9,102.0,56,29,7.04,22.14,1.1,17.03,69.22
1884,南投縣,2015/01/03,埔里,2.2,0.65,33.2,90.0,69,20,1.48,18.32,1.17,16.25,65.98
1885,南投縣,2015/01/03,竹山,2.0,0.54,29.6,111.0,75,19,2.61,16.45,1.2,15.66,68.94
1886,南投縣,2015/01/02,南投,3.1,0.59,19.5,77.0,33,28,6.81,21.3,1.14,14.83,66.49
1887,南投縣,2015/01/02,埔里,2.1,0.57,33.0,79.0,56,17,1.91,15.06,1.48,14.59,68.33
1888,南投縣,2015/01/02,竹山,2.4,0.49,25.5,94.0,56,22,3.56,18.1,1.16,13.58,65.46
1889,南投縣,2015/01/01,南投,1.8,0.58,21.9,82.0,37,25,6.05,18.49,1.63,14.96,67.52
1890,南投縣,2015/01/01,埔里,2.0,0.6,30.9,65.0,46,20,3.03,16.7,1.35,14.25,67.45
1891,南投縣,2015/01/01,竹山,3.0,0.46,30.0,82.0,50,18,1.88,16.45,1.34,13.98,65.17
1892,雲林縣,2015/01/31,斗六,2.5,0.47,25.3,49.0,26,20,2.1,17.56,2.19,17.43,71.55
1893,雲林縣,2015/01/31,崙背,3.4,0.49,25.2,55.0,25,14,1.61,12.16,4.44,15.52,74.78
1894,雲林縣,2015/01/31,麥寮,3.6,0.44,31.5,81.0,24,13,2.77,10.41,6.5,16.2,77.8
1895,雲林縣,2015/01/31,臺西,1.7,0.4,36.9,-,21,7,0.64,6.18,10.59,15.57,82.19
1896,雲林縣,2015/01/30,斗六,2.7,0.32,19.4,55.0,25,20,1.53,18.23,2.31,18.7,78.07
1897,雲林縣,2015/01/30,崙背,2.5,0.31,22.4,53.0,22,12,1.36,10.96,4.42,17.03,80.33
1898,雲林縣,2015/01/30,麥寮,2.9,0.23,30.1,78.0,18,12,2.32,9.3,6.47,17.26,82.81
1899,雲林縣,2015/01/30,臺西,1.6,0.17,35.4,45.0,11,6,0.61,5.38,10.22,16.8,86.92
1900,雲林縣,2015/01/29,斗六,3.9,0.38,24.0,52.0,23,22,1.49,20.34,1.73,19.5,75.51
1901,雲林縣,2015/01/29,崙背,4.6,0.39,23.0,45.0,21,17,2.01,14.63,3.26,17.79,79.72
1902,雲林縣,2015/01/29,麥寮,3.0,0.22,36.7,63.0,16,9,1.72,7.42,4.62,17.9,82.16
1903,雲林縣,2015/01/29,臺西,1.2,0.19,40.8,40.0,12,6,0.45,5.64,7.25,17.56,86.21
1904,雲林縣,2015/01/28,斗六,2.9,0.5,22.5,43.0,19,23,2.65,20.12,1.72,19.17,73.26
1905,雲林縣,2015/01/28,崙背,4.2,0.46,23.3,45.0,24,17,1.58,14.98,3.86,17.08,75.96
1906,雲林縣,2015/01/28,麥寮,3.2,0.36,34.0,78.0,23,12,2.03,9.76,5.49,17.48,79.47
1907,雲林縣,2015/01/28,臺西,1.9,0.31,39.1,52.0,19,8,1.0,7.0,9.66,17.12,83.78
1908,雲林縣,2015/01/27,斗六,2.1,0.53,16.1,71.0,47,29,5.04,24.35,1.54,19.71,83.98
1909,雲林縣,2015/01/27,崙背,2.6,0.53,25.0,70.0,48,17,1.7,14.97,2.99,18.36,86.75
1910,雲林縣,2015/01/27,麥寮,2.7,0.44,39.8,89.0,45,12,2.09,9.89,4.09,18.4,87.48
1911,雲林縣,2015/01/27,臺西,2.0,0.4,45.7,63.0,43,9,1.25,7.52,7.3,18.26,90.26
1912,雲林縣,2015/01/26,斗六,2.5,0.41,20.1,74.0,44,26,4.0,21.74,1.86,19.58,81.94
1913,雲林縣,2015/01/26,崙背,3.0,0.38,25.7,58.0,42,16,1.68,14.64,2.63,17.54,85.24
1914,雲林縣,2015/01/26,麥寮,2.1,0.27,38.8,69.0,39,12,1.77,10.09,3.55,18.0,85.86
1915,雲林縣,2015/01/26,臺西,2.7,0.27,41.2,39.0,33,11,1.13,9.64,5.14,17.88,88.73
1916,雲林縣,2015/01/25,斗六,4.3,0.69,34.1,133.0,93,27,4.23,22.65,1.31,19.82,68.66
1917,雲林縣,2015/01/25,崙背,4.1,0.59,28.4,118.0,90,20,1.99,17.56,2.03,17.67,76.94
1918,雲林縣,2015/01/25,麥寮,3.6,0.47,37.5,117.0,72,17,1.37,15.93,2.48,18.02,79.57
1919,雲林縣,2015/01/25,臺西,3.9,0.45,40.7,78.0,70,16,1.29,14.25,3.62,18.16,81.6
1920,雲林縣,2015/01/24,斗六,4.2,0.67,38.2,106.0,77,24,2.74,21.56,1.4,17.63,65.08
1921,雲林縣,2015/01/24,崙背,3.3,0.7,28.2,110.0,88,29,4.27,24.55,1.88,15.94,71.12
1922,雲林縣,2015/01/24,麥寮,4.4,0.7,33.4,135.0,81,31,6.45,24.37,1.95,16.41,76.1
1923,雲林縣,2015/01/24,臺西,6.2,0.68,35.4,121.0,93,29,5.38,23.64,3.15,16.02,79.81
1924,雲林縣,2015/01/23,斗六,4.5,0.59,35.1,97.0,57,-,-,-,1.21,16.8,55.87
1925,雲林縣,2015/01/23,崙背,4.5,0.59,29.7,91.0,67,23,2.32,20.58,1.91,14.9,54.45
1926,雲林縣,2015/01/23,麥寮,5.5,0.58,37.0,113.0,53,24,4.41,19.11,2.38,15.71,59.23
1927,雲林縣,2015/01/23,臺西,6.1,0.5,42.9,84.0,50,17,2.13,15.31,4.05,15.47,63.56
1928,雲林縣,2015/01/22,斗六,4.0,0.59,35.7,105.0,62,27,5.28,21.93,2.21,17.19,64.26
1929,雲林縣,2015/01/22,崙背,5.2,0.5,43.0,98.0,61,17,0.92,16.19,3.9,16.36,57.76
1930,雲林縣,2015/01/22,麥寮,3.9,0.41,58.7,119.0,50,12,2.1,9.46,4.92,17.29,62.7
1931,雲林縣,2015/01/22,臺西,4.0,0.38,62.7,89.0,47,9,0.8,8.36,7.94,17.2,66.89
1932,雲林縣,2015/01/21,斗六,3.2,0.43,30.4,89.0,48,20,0.85,19.25,2.04,19.41,78.96
1933,雲林縣,2015/01/21,崙背,4.7,0.43,31.9,96.0,44,16,1.25,14.8,3.38,17.8,80.58
1934,雲林縣,2015/01/21,麥寮,2.5,0.29,48.9,108.0,40,9,1.64,7.28,4.3,17.97,82.12
1935,雲林縣,2015/01/21,臺西,2.1,0.28,52.5,73.0,35,7,0.8,5.74,6.81,17.83,85.22
1936,雲林縣,2015/01/20,斗六,4.2,0.59,38.1,115.0,68,24,3.23,20.46,1.49,19.34,70.53
1937,雲林縣,2015/01/20,崙背,5.1,0.52,33.4,104.0,62,19,2.55,16.85,2.14,17.14,73.45
1938,雲林縣,2015/01/20,麥寮,4.1,0.47,41.6,122.0,55,17,2.88,14.53,2.52,17.4,75.87
1939,雲林縣,2015/01/20,臺西,7.7,0.46,43.0,97.0,55,17,1.85,15.08,3.97,17.17,78.92
1940,雲林縣,2015/01/19,斗六,2.0,0.53,25.8,72.0,45,24,4.61,19.29,1.43,17.51,68.91
1941,雲林縣,2015/01/19,崙背,4.4,0.43,32.9,77.0,41,16,0.81,15.06,3.43,16.35,62.92
1942,雲林縣,2015/01/19,麥寮,4.9,0.41,42.0,143.0,40,16,1.97,13.79,4.96,17.09,65.93
1943,雲林縣,2015/01/19,臺西,4.9,0.38,46.5,103.0,40,12,1.39,10.38,8.58,16.72,71.25
1944,雲林縣,2015/01/18,斗六,3.7,0.54,25.9,95.0,63,20,3.39,16.61,1.6,16.75,72.27
1945,雲林縣,2015/01/18,崙背,3.9,0.49,26.2,87.0,59,15,1.45,13.39,3.16,15.37,71.6
1946,雲林縣,2015/01/18,麥寮,4.9,0.48,30.3,105.0,46,16,3.26,12.64,4.32,16.27,74.4
1947,雲林縣,2015/01/18,臺西,3.2,0.41,34.9,70.0,47,11,1.25,10.22,6.9,15.9,77.85
1948,雲林縣,2015/01/17,斗六,3.2,0.49,30.4,89.0,52,20,2.17,17.92,1.76,17.31,66.88
1949,雲林縣,2015/01/17,崙背,4.8,0.5,34.1,105.0,68,15,1.39,13.76,4.06,15.97,62.94
1950,雲林縣,2015/01/17,麥寮,5.8,0.48,39.0,185.0,65,16,1.52,14.75,5.87,16.74,66.96
1951,雲林縣,2015/01/17,臺西,4.0,0.43,46.4,143.0,71,10,0.56,9.34,9.94,16.32,72.07
1952,雲林縣,2015/01/16,斗六,3.6,0.48,23.6,71.0,41,34,7.95,25.65,1.72,18.32,73.27
1953,雲林縣,2015/01/16,崙背,4.3,0.42,23.2,66.0,36,21,2.94,17.59,3.4,16.48,77.08
1954,雲林縣,2015/01/16,麥寮,2.5,0.3,33.1,89.0,31,13,1.8,11.63,4.37,17.19,79.88
1955,雲林縣,2015/01/16,臺西,1.4,0.23,39.7,48.0,26,8,0.58,7.02,7.39,16.94,83.56
1956,雲林縣,2015/01/15,斗六,4.0,0.45,21.6,56.0,25,27,3.23,23.67,1.45,17.57,71.92
1957,雲林縣,2015/01/15,崙背,4.0,0.39,23.6,51.0,26,18,2.2,16.21,3.65,16.19,72.38
1958,雲林縣,2015/01/15,麥寮,3.5,0.31,31.3,97.0,22,16,2.63,13.15,5.61,16.99,74.14
1959,雲林縣,2015/01/15,臺西,2.0,0.25,37.4,41.0,18,8,0.48,7.21,9.18,16.67,78.55
1960,雲林縣,2015/01/14,斗六,2.2,0.32,26.9,22.0,8,18,1.87,15.66,2.79,18.09,79.28
1961,雲林縣,2015/01/14,崙背,3.3,0.32,26.0,23.0,13,14,1.37,12.27,4.2,17.12,80.36
1962,雲林縣,2015/01/14,麥寮,2.1,0.26,32.5,40.0,12,10,1.09,9.03,4.98,17.24,82.71
1963,雲林縣,2015/01/14,臺西,1.3,0.21,36.2,28.0,10,7,1.26,6.06,8.03,16.91,85.29
1964,雲林縣,2015/01/13,斗六,4.3,0.53,24.0,86.0,42,25,2.32,22.97,1.78,19.82,75.84
1965,雲林縣,2015/01/13,崙背,2.9,0.29,27.0,56.0,22,12,1.84,10.07,2.51,17.77,84.65
1966,雲林縣,2015/01/13,麥寮,2.1,0.31,33.2,72.0,19,12,2.65,9.28,2.83,17.92,85.04
1967,雲林縣,2015/01/13,臺西,6.6,0.29,28.0,49.0,19,24,7.27,16.38,4.91,17.74,87.51
1968,雲林縣,2015/01/12,斗六,5.1,0.63,31.4,95.0,52,-,-,-,1.22,21.13,63.13
1969,雲林縣,2015/01/12,崙背,4.6,0.55,27.3,81.0,51,21,2.84,18.41,1.9,18.42,68.73
1970,雲林縣,2015/01/12,麥寮,3.4,0.48,37.6,107.0,44,19,4.77,14.09,2.55,18.27,74.99
1971,雲林縣,2015/01/12,臺西,3.6,0.42,40.6,72.0,43,16,2.78,12.72,4.51,18.3,77.99
1972,雲林縣,2015/01/11,斗六,4.0,0.57,28.2,85.0,57,23,2.36,20.24,1.32,19.3,64.72
1973,雲林縣,2015/01/11,崙背,5.9,0.52,25.9,86.0,51,20,2.66,17.63,2.07,17.56,66.31
1974,雲林縣,2015/01/11,麥寮,2.7,0.33,38.2,102.0,36,12,1.47,10.98,3.16,17.73,72.34
1975,雲林縣,2015/01/11,臺西,3.5,0.29,43.5,60.0,34,10,1.41,8.65,5.7,17.82,76.08
1976,雲林縣,2015/01/10,斗六,4.2,0.58,26.1,92.0,53,29,3.74,25.41,1.28,18.0,66.91
1977,雲林縣,2015/01/10,崙背,3.8,0.4,27.3,64.0,36,18,1.38,16.14,2.41,16.73,65.95
1978,雲林縣,2015/01/10,麥寮,4.6,0.31,33.9,87.0,26,15,2.28,13.02,3.46,17.31,69.95
1979,雲林縣,2015/01/10,臺西,3.0,0.24,39.5,46.0,22,10,1.1,8.66,6.07,17.11,74.51
1980,雲林縣,2015/01/09,斗六,4.1,0.48,25.1,77.0,45,26,2.78,23.41,1.66,17.41,63.76
1981,雲林縣,2015/01/09,崙背,4.1,0.45,27.0,70.0,38,18,2.24,15.39,3.32,16.01,62.87
1982,雲林縣,2015/01/09,麥寮,5.9,0.43,32.5,103.0,33,17,1.85,15.17,4.48,16.58,68.12
1983,雲林縣,2015/01/09,臺西,5.8,0.33,34.7,60.0,28,16,1.01,15.28,7.57,15.98,73.28
1984,雲林縣,2015/01/08,斗六,4.1,0.51,22.7,72.0,44,23,3.07,19.97,2.32,16.15,63.11
1985,雲林縣,2015/01/08,崙背,4.5,0.47,27.9,119.0,55,16,1.28,14.71,4.76,14.76,59.56
1986,雲林縣,2015/01/08,麥寮,6.4,0.43,33.0,153.0,46,16,1.52,14.94,6.87,15.56,65.8
1987,雲林縣,2015/01/08,臺西,3.3,0.35,40.7,105.0,47,8,0.66,7.37,10.99,14.65,72.59
1988,雲林縣,2015/01/07,斗六,2.4,0.6,21.6,76.0,45,23,3.72,18.99,2.4,19.3,75.18
1989,雲林縣,2015/01/07,崙背,4.1,0.54,24.0,87.0,32,18,2.43,15.24,4.85,17.3,76.77
1990,雲林縣,2015/01/07,麥寮,2.4,0.42,35.8,118.0,30,10,1.66,8.71,7.07,17.44,80.52
1991,雲林縣,2015/01/07,臺西,1.5,0.37,39.8,52.0,26,7,0.76,6.4,11.27,17.03,84.79
1992,雲林縣,2015/01/06,斗六,5.6,0.56,26.9,75.0,46,-,-,-,1.56,22.18,70.05
