序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
89,臺北市,2014/01/19,萬華,2.7,0.5,-,29.6,57,36,28.57,6.07,22.48,3.15,16.74,48.25
90,臺北市,2014/01/19,陽明,2.7,0.24,443.08,47.1,30,21,3.74,1.18,2.55,-,9.01,83.09
91,臺北市,2014/01/19,士林,1.8,0.33,-,42.3,57,39,11.02,2.66,8.36,3.07,16.55,50.53
92,臺北市,2014/01/18,松山,5.9,0.63,436.6,41.7,94,65,26.5,4.32,22.17,2.15,14.12,53.99
93,臺北市,2014/01/18,古亭,5.4,0.62,-,34.4,98,60,29.41,5.25,24.16,2.26,14.22,59.18
94,臺北市,2014/01/18,中山,6.5,0.64,-,33.1,115,66,31.77,4.41,27.37,1.87,15.01,54.71
95,臺北市,2014/01/18,大同,5.7,1.19,-,-,103,70,77.26,36.31,40.96,-,-,-
96,臺北市,2014/01/18,萬華,5.9,0.67,-,33.6,92,64,33.45,5.04,28.41,2.0,14.8,54.15
97,臺北市,2014/01/18,陽明,5.4,0.38,449.03,60.4,57,44,7.11,1.06,6.06,-,6.8,88.77
98,臺北市,2014/01/18,士林,6.2,0.46,-,50.7,97,67,16.05,1.88,14.17,2.65,14.54,53.35
99,臺北市,2014/01/17,松山,2.6,0.48,427.14,20.7,27,22,34.93,8.45,26.48,2.3,15.67,60.67
100,臺北市,2014/01/17,古亭,1.2,0.43,-,24.1,41,20,27.52,5.61,21.91,2.41,16.47,61.29
101,臺北市,2014/01/17,中山,1.8,0.59,-,17.3,58,28,38.86,11.06,27.81,2.02,16.91,60.85
102,臺北市,2014/01/17,大同,3.8,1.17,-,-,48,22,86.19,50.46,35.73,-,-,-
103,臺北市,2014/01/17,萬華,2.3,0.46,-,20.8,29,19,35.82,8.44,27.37,2.73,16.77,58.42
104,臺北市,2014/01/17,陽明,1.7,0.15,400.43,45.2,15,11,1.86,0.59,1.21,-,9.41,94.02
105,臺北市,2014/01/17,士林,1.4,0.26,-,35.4,34,19,14.45,2.64,11.81,2.52,16.79,58.36
